Session,Timecycle,Profile,ConnectionStartDateTime,ConnectionEndDateTime,ChargingStartDateTime,ChargingEndDateTime,Power,Energy,ConnectionHours,ChargingHours
S1,Workdays,HomeEV,2023-05-01T11:45:00Z,2023-05-02T01:46:00Z,2023-05-01T11:45:00Z,2023-05-01T16:20:00Z,3.7,17.02,14.02,4.6
S2,Workdays,HomeEV,2023-05-01T12:00:00Z,2023-05-02T02:33:00Z,2023-05-01T12:00:00Z,2023-05-01T15:06:00Z,3.7,11.47,14.55,3.1
S3,Workdays,HomeEV,2023-05-01T12:15:00Z,2023-05-02T01:01:00Z,2023-05-01T12:15:00Z,2023-05-01T15:42:00Z,3.7,12.8,12.77,3.46
S4,Workdays,HomeEV,2023-05-01T15:30:00Z,2023-05-02T05:09:00Z,2023-05-01T15:30:00Z,2023-05-01T19:45:00Z,3.7,15.76,13.65,4.26
S5,Workdays,HomeEV,2023-05-01T19:45:00Z,2023-05-02T09:47:00Z,2023-05-01T19:45:00Z,2023-05-01T23:40:00Z,3.7,14.54,14.03,3.93
S6,Workdays,HomeEV,2023-05-02T08:15:00Z,2023-05-02T21:13:00Z,2023-05-02T08:15:00Z,2023-05-02T13:01:00Z,3.7,17.65,12.97,4.77
S7,Workdays,HomeEV,2023-05-02T15:45:00Z,2023-05-03T03:54:00Z,2023-05-02T15:45:00Z,2023-05-02T19:36:00Z,3.7,14.28,12.15,3.86
S8,Workdays,HomeEV,2023-05-02T17:30:00Z,2023-05-03T07:18:00Z,2023-05-02T17:30:00Z,2023-05-02T21:16:00Z,3.7,13.99,13.8,3.78
S9,Workdays,HomeEV,2023-05-02T20:45:00Z,2023-05-03T08:30:00Z,2023-05-02T20:45:00Z,2023-05-03T01:28:00Z,3.7,17.5,11.75,4.73
S10,Workdays,HomeEV,2023-05-02T21:45:00Z,2023-05-03T11:37:00Z,2023-05-02T21:45:00Z,2023-05-03T02:11:00Z,3.7,16.43,13.87,4.44
S11,Workdays,HomeEV,2023-05-03T09:45:00Z,2023-05-04T00:00:00Z,2023-05-03T09:45:00Z,2023-05-03T12:40:00Z,3.7,10.8,14.25,2.92
S12,Workdays,HomeEV,2023-05-03T16:00:00Z,2023-05-04T08:15:00Z,2023-05-03T16:00:00Z,2023-05-03T19:47:00Z,3.7,14.02,16.25,3.79
S13,Workdays,HomeEV,2023-05-03T16:30:00Z,2023-05-04T05:48:00Z,2023-05-03T16:30:00Z,2023-05-03T20:49:00Z,3.7,15.98,13.3,4.32
S14,Workdays,HomeEV,2023-05-03T18:45:00Z,2023-05-04T08:00:00Z,2023-05-03T18:45:00Z,2023-05-03T23:08:00Z,3.7,16.24,13.25,4.39
S15,Workdays,HomeEV,2023-05-03T21:00:00Z,2023-05-04T11:15:00Z,2023-05-03T21:00:00Z,2023-05-04T00:51:00Z,3.7,14.25,14.25,3.85
